dataset	id	requirements
03_themas	137	When a request to turn on or off a heating or cooling unit is made, this process shall generate the appropriate request to carry out that request.
03_themas	139	Once a request to turn on or off a heating or cooling unit, the THEMAS system shall provide the necessary control signal for the unit.
03_themas	140	This control signal shall also provide an indication of the unit’s status at the requesting thermostat.
03_themas	141	This process shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested.
03_themas	142	The necessary signal to the heating or cooling unit will be generated.
03_themas	144	In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, this procedure shall output the status information of the heating or cooling unit.
03_themas	145	In order to provide an operational history and statistical reports, this process shall generate an event each time a change is made to the status of a heating or cooling unit.
03_themas	147	There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has exceeded the defined limits.
03_themas	149	When the THEMAS system detects a request for an alarm, this process shall detect which of the two alarms are being requested.
03_themas	150	If the system detects an invalid temperature, this process shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor’s computer.
03_themas	153	If the system detects a temperature limit has been exceeded, this process shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer.
03_themas	155	This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.
03_themas	156	Each time an alarm is requested, an alarm event shall be recorded.
03_themas	157	This event shall be used to provide operational and statistical reports about the system.
03_themas	158	For each event that is generated, the THEMAS system shall identify each event and generate the appropriate event data.
03_themas	159	When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message.
03_themas	160	The THEMAS system shall record each event by a description and the current system time for that event.
03_themas	161	This information shall be recorded in a Microsoft® Access® database that shall reside on the supervisor’s computer.
03_themas	162	The THEMAS system shall provide the supervisor a mechanism to change the temperature setting of any of the thermostats in the system.
03_themas	163	The supervisor’s interface shall display the available thermostats and their individual current temperature settings.
03_themas	165	The THEMAS shall provide the ability for the supervisor to select between two different types of reports: 1) the operational history of the THEMAS system for the past twelve months and 2) a statistical summary for any selected month.
03_themas	166	The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.
03_themas	168	If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.
03_themas	169	If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.
03_themas	170	After selecting one of the months, the system shall generate the ASCII report file.
05_tcs	248	Upon application of power the TCS shall enter the Startup State.
05_tcs	250	The TCS will execute the particular startup mode which corresponds with the manner in which the TCS Software was halted.
05_tcs	253	During startup, the TCS shall determine which of the 5 levels of interaction are achievable by the TCS configuration.
05_tcs	254	Levels of interaction higher than those achievable by a particular TCS configuration shall be prohibited.
05_tcs	255	The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction.
05_tcs	256	When executing in the Normal Startup Mode, the TCS shall provide the system functionality necessary to initialize the system to place it in the Operations State within 60 seconds from the time power is supplied and the TCS application is launched.
05_tcs	257	Initialization of the TCS HWCIs shall include startup of HWCIs , download of software , startup of CSCIs , execution of Startup FD/L , and establishment of the state of readiness of all interfaces.
05_tcs	258	The TCS in the Recovery Startup Mode shall provide the system functionality to resume the Operations State within 45 seconds.
05_tcs	260	The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction.
05_tcs	261	For recovery from abnormal termination, TCS shall prompt the operator to select the type of recovery to be executed: (1)Resume in the Same Modes And (2)Resume in the Same Modes but Review and Modify the Command Data as Necessary or, (3) Perform a Command Shutdown and Startup Via the Normal Startup Mode.
05_tcs	265	The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the Normal Operations Mode and Training Mode, to include a periodic determination of level of interaction.
05_tcs	269	In the Maintenance Operations Mode, if computer workstation Human Computer Interface (HCI) is required, the TCS shall support the following functions:
05_tcs	270	Conduct AV maintenance Conduct payload maintenance
05_tcs	271	Conduct Data Link Terminal maintenance Conduct workstation and peripheral equipment maintenance Perform Fault Detection/Location (FD/L) Perform Software Upgrades
05_tcs	272	Perform Software Debug and Monitoring
05_tcs	273	Upon the selection of a shutdown command the TCS shall enter the Shutdown State, which will cause the TCS to be placed in a condition where power can be removed without impacting operations as well as causing damage to the system, and from which restart of the system can be accomplished normally.
05_tcs	276	The TCS will provide the hardware and software necessary to allow the operator to conduct the following major functions 1) mission planning, 2) mission control and monitoring, 3) payload product management, 4) targeting, and 5) C4I system interface.
05_tcs	277	The TCS shall have the functionality to allow the operator to generate a UAV mission plan.
05_tcs	278	The TCS shall have the functionality to receive and process UAV mission plans from service specific mission planning systems.
05_tcs	280	The TCS shall have the functionality to transmit UAV mission plans to service specific mission planning systems.
05_tcs	281	The TCS shall facilitate automated processing of mission plan data received via C4I interfaces in order to extract the appropriate mission planning data.
05_tcs	282	The TCS shall have the functionality to receive and process UAV mission plans from other TCSs.
05_tcs	283	The TCS shall have the functionality to transmit UAV mission plans to other TCSs.
05_tcs	285	The TCS shall be capable of storing a minimum of 500 mission plans under unique names to allow for later retrieval.
05_tcs	286	The TCS mission planning function shall provide a graphical user interface that gives the operator the ability to define waypoints on a map based display using a pointing device with full keyset redundancy.
05_tcs	287	The TCS shall provide the capability to compute the range and bearing between two geographic positions on the map display.
05_tcs	288	As an objective, the TCS shall have the capability to import as well as create and modify map display overlays for fire support coordination measures , airspace control measures , and threat identification measures.
05_tcs	289	Upon completion of radar cross section analysis and characterization by the Government for each UAV type, TCS shall utilize a UAV signature versus threat lookup table (database) that identities the lethality of the threat to the UAV , and shall provide the capability of displaying aircraft signature versus threat, before and during flight.
05_tcs	290	The TCS shall permit dynamic mission and payload retasking during all phases of operational mission execution.
05_tcs	291	The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if applicable to the selected AV), and AV loiter patterns.
05_tcs	292	The TCS shall provide the capability to enter system configuration characteristics in the mission plan, to include selected AV type, AV identification number, selected payload type, ground control authorization information, and required communications pre-set for data links, tactical communications, and C4I data dissemination.
05_tcs	293	The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if applicable) to the AV via the selected system data link as well as direct ground connection.
05_tcs	294	TCS shall provide the capability for the operator to retrieve a mission plan for viewing, modification, as well as deletion at the operator's discretion , and allow the operator to save the mission plan under a different name, for future retrieval .
05_tcs	295	The TCS shall automatically check the validity of the intended mission plan prior to being uploaded including altitude constraints, payload constraints, data link range constraints, airspace restrictions, fuel limitations, threat constraints, data link terrain masking effects, and Loss of Link (LOL) Plan.
05_tcs	296	The TCS shall notify the operator of all discrepancies found during the mission plan check as well as indicate successful completion of the mission plan check.
05_tcs	297	The TCS shall provide the capability to override validation faults after the fault is acknowledged by the operator.
05_tcs	298	The TCS shall allow the operator to set the LOL delay timer(s) during mission planning.
05_tcs	300	The TCS shall provide the capability to print waypoint data in alphanumeric format.
05_tcs	302	The TCS shall allow the operator to define the desired AV route in waypoint format , and shall provide the capability to include up to 500 waypoints in each flight route plan.
05_tcs	303	The TCS shall provide the capability to display mission waypoints and flight path graphically.
05_tcs	304	The TCS shall provide the capability to enter waypoint data in alphanumeric format.
05_tcs	306	The TCS shall present to the operator the estimated time of arrival and fuel status at each programmed waypoint of the proposed mission plan.
05_tcs	307	At every waypoint and every 5 minutes, the TCS shall compute the AV's flight range based on remaining fuel.
05_tcs	308	The TCS shall analyze the flight route plan selected for uplink to determine that the flight constraints of the AV and the limitation of the data link are not violated prior to transmission of the flight route plan to the AV.
05_tcs	311	The TCS shall provide the operator with an interactive graphics and map based flight route planning capability.
05_tcs	312	The TCS shall provide the capability to create waypoints that define the desired flight path, define AV Altitude and Airspeed associated with the waypoint.
05_tcs	313	The TCS shall provide the capability of displaying overlays each containing 100 simultaneous icons of known fire support coordination zones , airspace control zones , threat systems , and displaying the threat engagement envelopes with associated radar terrain masking for those threats .
05_tcs	314	A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.
05_tcs	315	The TCS shall provide the capability to modify the maximum number of threats displayed, when de-clutter is selected.
05_tcs	316	The TCS shall provide the capability to display waypoint data in alphanumeric format.
05_tcs	317	The TCS shall have the capability to load a map onto the display, to zoom in and out, to scroll, to print, and to clear a map on the map display.
05_tcs	318	The TCS shall provide the operator with a clearly indicated map scale.
05_tcs	319	Upon operator request, the following icons shall be displayed on the map display (when the coordinates reside on the displayed portion of the map). Display an icon indicating AV position when receiving downlink from the desired AV. Display an icon indicating payload center field of view and footprint when receiving downlink from the desired AV. Display an icon, in variable sizes, indicating target position and type at coordinates selected by the operator. Display icons indicating TCS position and Ground Data Terminal (GDT) position. Display an icon indicating Launch, Handover, and Recovery site (when applicable). Display icons indicating Flight Plan waypoints.
05_tcs	320	The TCS shall be capable of displaying the positions of the icons in Lat./Lon.,
05_tcs	322	The TCS shall provide the capability to graphically display Line of Sight versus terrain profile (DTED).
05_tcs	323	For those payloads identified in Table 3-2, the TCS shall be able to generate payload planning information to be uplinked to the AV separate from a flight route plan.
05_tcs	324	The TCS shall provide the system functionality necessary to generate a payload plan that, as a minimum, shall include the following information: Payload type
05_tcs	326	The TCS shall provide the capability to display the payload swath for the selected payload for planning purposes.
05_tcs	327	The TCS will have the capability to control and monitor an AV, payload, data link, and C4I interfaces during the execution of a mission.
05_tcs	328	While flying two MAE AVs Beyond Line Of Sight (BLOS), the TCS shall provide full control functionality of each AV.
05_tcs	329	AV specific components used to perform ground based closed loop command and control functions for TCS shall be initialized upon operator selection of a specific AV.
05_tcs	330	The TCS shall transmit command and control information to the AV via the uplink to the AV , and receive AV telemetry and payload information via downlink from the AV .
05_tcs	332	The TCS shall have the capability to control and monitor multiple types of AVs.
05_tcs	333	TCS shall notify the operator when AV performance parameters are out of limits.
05_tcs	334	The TCS shall provide the capability to pass control of an AV to another TCS , and receive control of an AV from another TCS .
05_tcs	335	The TCS shall provide the capability to control the AV flight commands as well as to release the AV to an autonomous flight control mode.
05_tcs	337	The TCS shall provide the capability to control the flight of the selected AV in accordance with the specific AV's operational performance capabilities.
05_tcs	338	The TCS shall provide the capability to fully control and display the AV's Identification Friend or Foe (IFF).
05_tcs	339	The TCS shall provide the capability to enter AV preset limits which, as a minimum, will include airspeed limits, altitude limits, and fuel limits.
05_tcs	340	The TCS shall allow the operator to control an AV using the LOS as well as SATCOM data links.
05_tcs	341	The TCS shall provide the necessary system capabilities required for AV flight control BLOS via uplink command to two MAE air vehicles.
05_tcs	342	The TCS shall support operation of the AV via all flight modes, to include manual controls.
05_tcs	343	The TCS shall provide the capability to implement an emergency action plan, if supported by the AV, to control the AV during equipment failures.
05_tcs	344	The TCS shall provide interactive displays necessary to command the flight of an AV.
05_tcs	345	The TCS shall allow the operator to command the flight behavior characteristics inherent to the selected AV.
05_tcs	347	The TCS shall have the capability to command the AV to use the navigation methods inherent to the selected AV.
05_tcs	348	The operator shall have the capability to initiate as well as change, to include as a minimum manual override, UAV navigation methods by sending the proper control commands to the UAV.
05_tcs	349	The TCS shall provide the functionality to control, monitor, and display the operation of the Air Data Terminal (ADT).
05_tcs	351	The TCS shall provide the functionality to control the ADT antenna.
05_tcs	353	The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication.
05_tcs	354	As an objective, the TCS shall support an automatic launch and recovery system.
05_tcs	356	As an objective, the TCS shall present sufficient cues to the operator to implement and monitor automatic launch and recovery, and to initiate abort procedures if required.
05_tcs	357	The TCS shall allow the operator to initiate the emergency recovery feature of the AV, if the AV has an emergency recovery feature.
05_tcs	358	TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.
05_tcs	359	TCS shall provide the capability to monitor AV adherence to the uplinked mission plan, detecting any deviations greater than 10% from projected flight path, and notifying the operator if deviations are detected.
05_tcs	360	TCS shall provide the capability to monitor the status of all AV subsystems reporting status.
05_tcs	361	The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.
05_tcs	362	When the data link is interrupted, the TCS shall present the last known AV status values and the time at which the last values were reported.
05_tcs	363	The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum, remaining fuel, flow rate, and bingo fuel.
05_tcs	365	The TCS shall compute the estimated position of the AV during Loss of Link (LOL) based upon the last known AV position and anticipated flight path based on current flight mode (e.g. flight route plan mode, emergency flight route plan mode, maintain current heading mode).
05_tcs	366	TCS shall display a LOL timer to the operator initiating a LOL onset.
05_tcs	368	The TCS will have the capability to control and monitor the AV payload(s).
05_tcs	369	The TCS shall have the capability to receive data from and control payloads on an AV that is being controlled from another TCS.
05_tcs	370	The TCS shall provide the necessary system capabilities required for payload control beyond line of sight via uplink command of two air vehicles of the same type using sequential communication techniques.
05_tcs	373	The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.
05_tcs	374	The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV.
05_tcs	375	The TCS shall provide a graphical user interface display for the purpose of controlling the payload.
05_tcs	376	The TCS shall provide override of payload automated as well as preprogrammed inputs.
05_tcs	377	TCS shall provide the capability to monitor payload adherence to the uplinked mission plan.
05_tcs	378	The TCS shall display the current search footprint and the search history of the payload on the map.
05_tcs	379	The TCS shall have the capability to simultaneously control and monitor a line-of-sight as well as a BLOS data terminal.
05_tcs	380	The TCS shall provide the system functionality necessary to record data obtained via the data link.
05_tcs	381	The TCS shall be capable of interfacing with the specified data terminal and issuing data link terminal commands required to establish, control, and maintain the data link with a selected AV.
05_tcs	383	The TCS shall be capable of automatically selecting the proper mode of operation for the selected data terminal.
05_tcs	387	For shipboard operations, the TCS shall provide the capability to switch to a second LOS antenna, if a second antenna is available, when desired (e.g. the currently active antenna is masked by shipboard obstructions).
05_tcs	388	The TCS shall provide the capability to switch to a SATellite COMmunication (SATCOM) antenna, if the selected AV has SATCOM capability, when desire (e.g. the AV proceeds beyond LOS range as well as when LOS is obstructed).
05_tcs	389	The TCS shall provide an interactive display for the purpose of controlling the data link terminal.
05_tcs	390	The TCS shall provide automatic pointing commands for directional antennas , and shall allow for the manual pointing of directional antennas when desired by the operator .
05_tcs	391	The TCS shall be capable of positioning antennas to maintain LOS as well as SATCOM.
05_tcs	393	The TCS shall be capable of automatically controlling the transmitter and receiver functions of the selected data terminal.
05_tcs	394	The operator shall be able to manually override the automatic function selection of the selected data terminal, if desired.
05_tcs	395	The TCS shall be capable of automatically controlling the transmitter and receiver modes of the selected data terminal.
05_tcs	396	The operator shall be able to manually override the automatic mode selection of the selected data terminal, if desired.
05_tcs	397	The TCS shall be capable of automatically controlling the transmitter and receiver frequencies of the selected data terminal.
05_tcs	398	The operator shall be able to manually override the automatic frequency selection if desired.
05_tcs	399	The TCS shall receive, process, and present status data to the operator so that the status of the data terminal and the supported AV data link can be monitored.
05_tcs	400	The TCS shall be capable of monitoring and displaying the signal strength of the received and transmitted signals for the selected data terminal.
05_tcs	401	The TCS shall be capable of monitoring and displaying the signal quality of the received and transmitted signals for the selected data terminal.
05_tcs	402	The TCS shall be capable of presenting to the operator a visual depiction of the minimum and maximum data link operational ranges.
05_tcs	403	The TCS shall have the functionality to process payload product data from Electro Optical (EO), Infrared (IR), and Synthetic Aperture Radar (SAR) payloads.
05_tcs	413	The TCS shall display live and recorded imagery data, with as well as without annotation and overlay, upon operator request.
05_tcs	416	The TCS shall provide the capability to simultaneously view imagery as well as data from more than one payload, when applicable.
05_tcs	417	The TCS operator shall be able to select the content of the overlay information.
05_tcs	418	The TCS shall have the capability to select and deselect several types of cross hairs (or other similar ICON) to identify a selected point on a target.
05_tcs	419	RS170A video and digital imagery shall be routed to TCS functions and displayed upon operator request.
05_tcs	420	The TCS shall have the functionality to conduct limited exploitation, to include voice and textual reporting for spot and mission objectives, on the payload product data.
05_tcs	423	The TCS shall provide the capability to capture frozen-frames of imagery and store these frozen images for further review and processing.
05_tcs	424	The TCS shall have the capability to display Near-Real Time (NRT) imagery to include, as a minimum, date/time group, target location coordinates when the target is in the center of the field of view, north seeking arrow, and AV position and heading.
05_tcs	425	The TCS shall provide the capability to compute the range and bearing between two geographic positions located on the payload imagery display.
05_tcs	426	The TCS will have the functionality to determine target coordinates, and estimate target coordinate accuracy.
05_tcs	427	The TCS shall support a target location function where the operator can request the current ground location of the payload field-of-view center.
05_tcs	428	The TCS shall have the functionality to determine the location of items of interest within the payload field of view, and express these locations in coordinates acceptable for military applications.
05_tcs	429	The TCS shall have the functionality to develop an estimate of the error in computed target coordinates, and associate the error estimate with the appropriate target.
05_tcs	430	The TCS shall be capable of entering DII-COE compliant (C4I) networks.
05_tcs	432	The TCS shall have the functionality necessary to manage all aspects of C4I system interfaces to include receiving, processing, and transmitting tactical information to include but not limited to character based text messages, NITF 2.0 imagery files, and RS-170A video.
05_tcs	433	The TCS shall provide the functionality necessary to interface with various C4I systems in order to satisfy the operational requirements for: 1. Tasking TCS to plan and conduct a mission. Presentation of payload product and target coordinates for export and dissemination. Use of UAV obtained data (Non-real time tracks, tactical points and amplifying information) to provide a C4I system with information that may be used by C4I system operators, for transmission on tactical data communication links, and available to support engagement by appropriate weapons systems.
05_tcs	434	The TCS shall have the capability to interoperate with a data server to receive, extract, and push intelligence data.
05_tcs	436	The TCS shall have the ability to interface with Service specific ground and airborne Ultra High Frequency (UHF), Very High Frequency (VHF), UHF/VHF, and High Frequency (HF) radios for digital message transmission while using the same radios for record traffic.
05_tcs	439	The TCS shall export and disseminate formatted NITF 2.0 files , digital imagery (if applicable), RS-170A video (with as well as without overlay), and tactical communication messages.
05_tcs	449	The TCS will have the functionality to process received C4I messages and to prepare C4I messages for transmission.
05_tcs	451	The TCS shall, as a minimum, have the functionality to provide the following digital data processing capabilities: 1. Create Tactical Communications Messages to include United States Message Text Format (USMTF), Tactical Fire (TACFIRE), Over The Horizon Gold (OTH-Gold), and Intelligence and Electronic Warfare Character Oriented Message Catalog (IEWCOMCAT)
05_tcs	453	All digital messages received by the TCS shall be automatically checked for errors and corrected when possible.
05_tcs	454	All erroneous messages that cannot be corrected by TCS shall be flagged to the operator.
05_tcs	455	The TCS shall provide the capability to log all incoming and outgoing formatted tactical messages.
05_tcs	456	The TCS shall, as a minimum, have the functionality to provide the following analog data processing capabilities: 1. Prepare annotated as well as un-annotated analog imagery for transmission 2. Receive incoming annotated as well as un-annotated analog imagery
05_tcs	457	The TCS shall have the functionality to monitor the status of all C4I interfaces, and display appropriate control information.
05_tcs	458	The TCS shall, as a minimum, have the functionality to provide the following data monitoring capabilities: 1. Display which C4I systems are supported and online during a mission 2. Monitor the status of all incoming and outgoing tactical communication messages 3. Review all tactical communication messages received and transmitted 4. View incoming and outgoing, annotated as well as un-annotated analog imagery 5. View incoming and outgoing, annotated as well as un-annotated digital imagery messages
05_tcs	459	TCS shall be capable of executing AV maintenance software and displaying appropriate status results.
05_tcs	460	TCS shall be capable of executing payload maintenance software and displaying appropriate status results.
05_tcs	461	TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results.
05_tcs	462	TCS shall be capable of executing workstation and peripheral equipment maintenance software and displaying appropriate status results.
05_tcs	464	As a minimum, TCS shall provide Startup FD/L for the operator workstation.
05_tcs	466	The TCS shall allow authorized operators to install software upgrades via CD-ROM as well as other media storage devices.
05_tcs	467	The TCS shall restrict operator access to this capability via password protection.
05_tcs	468	The TCS shall provide the capability for Authorized Operators to modify all TCS programmable parameters.
05_tcs	469	As a minimum, the TCS shall restrict Operator access to this capability via password protection.
05_tcs	470	The TCS shall be capable of importing National Imagery Mapping Agency (NIMA) Digital Terrain Elevation Data (DTED), Digital Feature Analysis Data (DFAD), Arc Digitized Raster Graphic and scanned hard copy maps, via compact disk.
05_tcs	471	The TCS shall be capable of importing map information via operator procedure and shall be capable of incorporating vector format and Compressed ADRG (CADRG) maps.
05_tcs	472	The TCS shall allow an Authorized Operator to execute a software debug capability and view the resulting debug diagnostic information.
05_tcs	473	As a minimum, the TCS will restrict Operator access to this capability via password protection.
05_tcs	474	The TCS will interface with external systems to conduct mission coordination and operations.
05_tcs	475	The TCS shall provide the capability to interface with equipment necessary to provide connectivity with standard DoD tactical (VHF, UHF, and UHF/VHF) radios, Mobile Subscriber Equipment, and military and commercial satellite communications equipment.
05_tcs	476	The TCS shall interface with external mission tasking systems (e.g., receive tasking orders, coordinate mission certification).
05_tcs	477	The TCS shall provide the system functionality necessary to interface with the data terminal.
05_tcs	478	The TCS shall provide the system functionality to allow interfacing with external systems via a local area network.
05_tcs	479	The TCS shall provide external interfaces to launch and recovery systems.
05_tcs	496	The TCS will provide the necessary hardware and software functionality to allow the TCS to integrate with Service Mission Planners.
05_tcs	528	The TCS shall provide an interface between the TCS and an external hard copy printer.
05_tcs	529	The TCS shall as a minimum, allow Operator(s) to print freeze-frame video, C4I Messages, Mission Plans, FD/L information, and current map display.
05_tcs	530	The TCS shall have the functionality to output digital message data and imagery to a hard copy printer.
05_tcs	532	The TCS shall provide an interface between the TCS and external data storage systems.
05_tcs	533	The TCS shall have the functionality to transfer digital data as well as digital imagery to and from external data storage systems.
05_tcs	535	The TCS shall have an interface between the TCS and DoD standard power supply equipment.
05_tcs	536	The TCS shall have the functionality to connect to the power supply equipment provided in the TCS operating environment.
05_tcs	538	The TCS shall have an interface to a source of current navigation information. As a minimum this information will include the location of all data terminals, launch and recovery sites, and the controlling TCS.
05_tcs	540	The TCS shall implement an AV Standard Interface that will provide the proper data format to ensure communications with the selected AV.
05_tcs	541	This interface shall allow for addition of future AVs and will provide the generic architecture to ensure interoperability.
05_tcs	543	The TCS shall support a concurrent uplink and downlink capability.
05_tcs	546	The TCS shall provide an internal interface for establishing communications with the Real Time Processor (RTP) within TCS.
05_tcs	547	This interface shall allow the information from the data server to be made available to other components of the TCS.
05_tcs	548	The RTP interface shall support distributed processing capability.
05_tcs	550	Remotely hosted applications shall communicate in a client server relationship via the defined data server interface.
05_tcs	551	The TCS shall provide an internal interface for the SAR Processor in order to disseminate SAR information (to include imagery and telemetry) to other components of the TCS.
05_tcs	553	The TCS shall incorporate an intercom system that provides verbal communicate in the situation where there are multiple operators.
05_tcs	556	The TCS will provide an interface between the TCS and a video cassette recorder.
05_tcs	557	The TCS shall allow the Operator(s) to fully control the VCR via the TCS Display input device(s).
05_tcs	558	The TCS shall be able to route VCR recorded payload video to the C4I Interfaces.
05_tcs	559	An RS-170A video interface shall be provided for the system to output and input analog imagery and overlays to and from a Video Cassette Recorder (VCR) for recording and playback.
05_tcs	561	The TCS shall have ports for outputting data and imagery to an internal hard copy printer.
05_tcs	564	The TCS shall be able to access data storage devices.
05_tcs	565	The TCS shall have the functionality to transfer digital data as well as digital imagery to and from data storage devices.
05_tcs	566	The TCS shall provide a CD drive for the retrieval of TCS data.
05_tcs	567	The TCS shall provide a tape drive for storage and retrieval of TCS data.
05_tcs	568	The TCS shall provide a RAID for storage and retrieval of TCS data, if required.
05_tcs	569	The TCS shall have an interface to an uninterruptible power supply.
05_tcs	570	The TCS hardware will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload perform mission planning monitor and control the payload monitor and control the AV and monitor and control the data links.
05_tcs	572	The TCS hardware shall allow for long range communications from one TCS to another, data storage expansion , access to other computers to share in processing capability , and multiple external peripherals .
05_tcs	576	The TCS shall have sufficient throughput to support the processing requirements of the selected data link.
05_tcs	586	The TCS software will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload perform mission planning
05_tcs	592	The TCS software shall provide the UAV operator with the necessary tools for computer related communications, mission tasking, mission planning, mission execution, data receipt, data processing, and data dissemination.
05_tcs	594	TCS software shall provide a windows based graphic operator interface.
05_tcs	606	The controls shall allow the air vehicle and payload operators to perform mission control, mission monitoring, and mission updates and modifications while wearing cold weather clothing and in a Mission Oriented Protective Posture.
05_tcs	607	The TCS shall provide the operator a caution and warning diagnostic when the TCS system has identified a malfunction.
05_tcs	610	When performing a given task during mission execution, the operator shall be given appropriate warning messages from other concurrently-executing subsystem tasks.
05_tcs	611	The TCS operator shall be required to enter an acknowledgment prior to disabling the display of critical warning flags for any AV, Payload, ADT, GDT, and TCS faults.
05_tcs	612	A combination of visual and auditory outputs will be provided to alert the TCS operator to situations which may require operator response.
05_tcs	613	All TCS warning messages and HCI actions shall be archived for later review.
