;Dataset;Requirement_Text;{replaced_term:inserted_abbreviation}
71;02_gamma;The plug-in API will be well documented and specifications will be provided to plug-in dev.;{'developer': 'dev'}
72;03_themas;The definitions of the individual heating and cooling systems reside in an initialization file.;{}
73;03_themas;The system shall read this file and the definitions shall be derived from the initialization data in the file.;{}
74;03_themas;The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system.;{}
75;03_themas;There is one heating and cooling unit that corresponds to one thermostat in each of four quadrants on each of three floors of the office building.;{}
76;03_themas;Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system.;{}
77;03_themas;This procedure will load these definitions into the THEMAS software.;{}
78;03_themas;Each quadrant of each floor shall have a thermostat which is to be used to provide temperature data to the THEMAS system.;{}
79;03_themas;The initialization file shall contain a unique identifier for each thermostat that the system is to monitor.;{}
80;03_themas;These identifiers shall be read from the initialization file and loaded into the THEMAS system during the initialization process.;{}
81;03_themas;There shall be a maximum number of heating or cooling units that can be on at any given time.;{}
82;03_themas;This procedure loads the maximum number of concurrently running units allowed.;{}
83;03_themas;The maximum number of heating or cooling units that can run concurrently shall reside in an initialization file.;{}
84;03_themas;The maximum number of concurrently running units shall be read from INI file and stored in the THEMAS system.;{'initialization file': 'INI file'}
85;03_themas;The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.;{}
86;03_themas;The trigger values shall reside in an initialization file.;{}
87;03_themas;This procedure shall read the initialization file and establish the trigger value from the data in that file.;{}
88;03_themas;The THEMAS system shall ensure temp reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.;{'temperature': 'temp'}
89;03_themas;The overtemperature values shall reside in an initialization file.;{}
90;03_themas;This procedure shall read the initialization file and establish the overtemperature value from the data in that file.;{}
91;03_themas;The THEMAS system shall only respond to temp that are within a reasonable value.;{'temperature': 'temp'}
92;03_themas;val temp rng val shall reside in an initialization file. This procedure shall read the initialization file and establish the valid temperature range from the data in it.;{'valid temperature range value': 'val temp rng val'}
93;03_themas;When the THEMAS system is initialized, it shall first turn off all the heating and cooling units.;{}
94;03_themas;Then, it shall check all the thermostats and determine if any thermostat’s settings require a heating or cooling unit to be turned on back on.;{}
95;03_themas;This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units.;{}
96;03_themas;It shall then read the current temperature values and current temperature settings of each thermostat.;{}
97;03_themas;If the settings reflect a need for a heating or cooling unit to be turned on, the process shall issue a request to turn on the appropriate unit.;{}
98;03_themas;This determination shall be made in accordance with the rules outlined in section 3.1.4.1 and 3.1.4.2.;{}
99;03_themas;The THEMAS system shall only respond to temp from the thermostats that are within the specified valid range.;{'temperature': 'temp'}
100;03_themas;Two types of temperature data shall be recognized from the thermostats: 1) the temperature setting and 2) the current temperature.;{}
101;03_themas;This module shall process both types of data.;{}
102;03_themas;A current temperature value that is received from an individual thermostat shall be compared to val temp rng val.;{'valid temperature range value': 'val temp rng val'}
103;03_themas;If the current temperature value is strictly less than the lower value of the valid temperature range or if the received temperature value is strictly greater than UV of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status.;{'upper value': 'UV'}
104;03_themas;Otherwise, the THEMAS system shall output a valid temperature status.;{}
105;03_themas;A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.;{}
106;03_themas;If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status.;{}
107;03_themas;Otherwise, the THEMAS system shall realize the value for that thermostat’s temperature setting.;{}
108;03_themas;The following sections describe the Monitor Temperature component of the THEMAS system.;{}
109;03_themas;The THEMAS system shall determine wh en a reported temperature or a changed temperature setting exceeds the limits set by the overtemperature values.;{}
110;03_themas;Temperatures that exceed the overtemperature limits shall be reported as such.;{}
111;03_themas;Temperatures that do not exceed these limits shall be output for subsequent processing.;{}
112;03_themas;The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits.;{}
113;03_themas;To clarify these conditions, the following definitions will be used: LO : Lower Overtemperature Value = TSET - OD UO : Upper Overtemperature Value = TSET + OD;{}
114;03_themas;If T = LO or UO = T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded. In this case this process shall output the condition of the temperature limit having been exceeded.;{}
115;03_themas;If LO = T = UO, then this process shall output the temperature status.;{}
116;03_themas;When the current temperature value exceeds the current temperature setting by a pre -defined amount, the THEMAS system shall activate the appropriate heating or cooling unit.;{}
117;03_themas;There are two conditions for each individual thermostat that shall be tested for: 1) the thermostat’s settings are satisfied and 2) the thermostat’s temperature indicates it requires a heating or cooling unit to be turned on.;{}
118;03_themas;To clarify these conditions, the following definitions will be used: LT : Lower Trigger Value = TSET - TD UT : Upper Trigger Value = TSET + TD Condition 1: LT = T = UT This condition indicates the thermostat’s current temperature setting is satisfied.;{}
119;03_themas;If this condition is true, then the module shall output a request to turn off both the heating unit and the cooling unit.;{}
120;03_themas;Condition 2: LO = LT or UT T = UO This condition the need for a heating or cooling unit to be turned on.;{}
121;03_themas;If this condition is true, then this module shall output a request to turn on the heating unit if LO = T LT or the cooling unit if UT T = UO.;{}
122;03_themas;The THEMAS system shall control each of the heating and cooling units that are defined for the system.;{}
123;03_themas;The THEMAS system shall limit No of heating or cooling units t hat may be running simultaneously.;{'number': 'No'}
124;03_themas;The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit.;{}
125;03_themas;When a request to turn on or off a heating or cooling unit, the following processing will occur.;{}
126;03_themas;When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.;{}
127;03_themas;If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.;{}
128;03_themas;If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit.;{}
129;03_themas;When a request to turn off a heating or cooling unit is received, this process shall check the queue of waiting heating and cooling requests.;{}
130;03_themas;If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made.;{}
131;03_themas;If that thermostat still needs a heating o r cooling unit turned on, this process shall submit a request to turn that unit on.;{}
132;03_themas;When a request for a heating unit or cooling to be turned is denied, an event shall be generated and the THEMAS system shall record that event.;{}
133;03_themas;The information in these events will be used for creating statistical reports.;{}
134;03_themas;This procedure shall realize the thermostat and heating or cooling information and use this information to generate a specific system event.;{}
135;03_themas;This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on.;{}
136;03_themas;The THEMAS system shall control the heating and cooling units that are designated as part of the THEMAS system.;{}
137;03_themas;When a request to turn on or off a heating or cooling unit is made, this process shall generate the appropriate request to carry out that request.;{}
138;03_themas;This request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off.;{}
139;03_themas;Once a request to turn on or off a heating or cooling unit, the THEMAS system shall provide the necessary control signal for the unit.;{}
140;03_themas;This control signal shall also provide an indication of the unit’s status at the requesting thermostat.;{}
141;03_themas;This process shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested.;{}
142;03_themas;The necessary signal to the heating or cooling unit will be generated.;{}
143;03_themas;Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined).;{}
144;03_themas;In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, this procedure shall output the status information of the heating or cooling unit.;{}
145;03_themas;In order to provide an operational history and statistical reports, this process shall generate evt each time a change is made to the status of a heating or cooling unit.;{'event': 'evt'}
146;03_themas;evt shall contain the identification of the heating or cooling unit whose status is being changed.;{'event': 'evt'}
147;03_themas;There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has exceeded the defined limits.;{}
148;03_themas;This process shall determine which alarm event is to be generated.;{}
149;03_themas;When the THEMAS system detects a request for an alarm, this process shall detect which of the two alarms are being requested.;{}
150;03_themas;If the system detects an invalid temperature, this process shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor’s computer.;{}
151;03_themas;Each beep shall have a three - quarter second duration.;{}
152;03_themas;SER of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.;{'series': 'SER'}
153;03_themas;If the system detects a temperature limit has been exceeded, this process shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer.;{}
154;03_themas;Each beep shall have a one-half second duration.;{}
155;03_themas;This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.;{}
156;03_themas;Each time an alarm is requested, an alarm event shall be recorded.;{}
157;03_themas;This event shall be used to provide operational and statistical reports about the system.;{}
158;03_themas;For each event that is generated, the THEMAS system shall identify each event and generate the appropriate event data.;{}
159;03_themas;When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message.;{}
160;03_themas;The THEMAS system shall record each event by a description and the current system time for that event.;{}
161;03_themas;This information shall be recorded in a Microsoft® Access® database that shall reside on the supervisor’s computer.;{}
162;03_themas;The THEMAS system shall provide the supervisor a mechanism to change the temperature setting of any of the thermostats in the system.;{}
163;03_themas;The supervisor’s interface shall display the available thermostats and their individual current temperature settings.;{}
164;03_themas;The supervisor shall be able to select one of the thermostats and select a value for the current temperature from a list of valid temperatures.;{}
165;03_themas;The THEMAS shall provide the ability for the supervisor to select between two different types of reports: 1) the operational history of the THEMAS system for the past twelve months and 2) a statistical summary for any selected month.;{}
166;03_themas;The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.;{}
167;03_themas;Either report shall consist of an ASCII file whose location and name shall be selectable by the operator.;{}
168;03_themas;If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.;{}
169;03_themas;If the statistical report is selected, the THEMAS system shall present the operator with a list of available months from which to make a selection.;{}
170;03_themas;After selecting one of the months, the system shall generate the ASCII report file.;{}
171;04_dii;COE Compliance. XML Services shall be segmented. COE sponsors shall adhere to compliance level requirements described in the I&RTS.;{}
172;04_dii;In the fixed (static) mode of operation (base or data processing megacenter), the data management services shall have the capability of being tuned by on-site personnel to adjust for varying workloads and sizes of associated databases.;{}
173;04_dii;These workloads and databases are expected to change more frequently and to a greater extent than for processing associated with deployed units;{}
174;04_dii;In a changing (dynamic) environment, such as with deployed units, the workload and database sizes may be more predetermined (given a more precise mission) and require access to fewer data management administrative capabilities than needed in a fixed environment.;{}
175;04_dii;The XS shall have the ability to redefine or reset names of connect descriptors to database server instances.;{}
176;04_dii;Connect descriptors are fully qualified object names and include address (protocol/host/port) and instance name.;{}
177;04_dii;In a degraded communications environment, there is a need, for example, to be able to reset session time-out values if the data management services are being accessed by users affected by the communications degradation.;{}
178;04_dii;At a minimum, sess to val shall be user definable and be able to be reset prior to initialization of a user session.;{'session time - out value': 'sess to val'}
179;04_dii;The goal is to provide the option of dynamically changing session time values based on current communications performance identified by capabilities of the network management or DBMS.;{}
180;04_dii;End User Mode: Portion of XS services shall be used by various classes of users: data consumers, data and database managers, network information infrastructure resource managers.;{}
181;04_dii;Some of these uses of the data management services will entail unique requirements that shall be fulfilled within the capability of XSS.;{'XS service': 'XSS'}
182;04_dii;Maintenance Mode: This mode includes modification and/or addition of application data segments, user permission, privileges, and restructuring storage and memory areas.;{}
183;04_dii;In addition, maintenance also shall pertain to shutdown, open not-mounted and online/off-line implementations, modifications, upgrade, or other related actions.;{}
184;04_dii;The data management services shall support managing various types of data, database architectures and platforms that includes hardware and software at the specified sites.;{}
185;04_dii;Training Mode. In support of training activities, the data management services shall provide for the same processing as would be encountered in a production environment.;{}
186;04_dii;However, access to db may be via a training application access to the DBMS rather than from the production mission application.;{'database': 'db'}
187;04_dii;Producer services A producer is an agent that contributes metadata for inclusion into an XML Registry for the purposes of ensuring maximum semantic understanding of a term as it appears in an XML document.;{}
188;04_dii;To contribute metadata to a registry, the producer must be able to receive XML registry forms, submit metadata and the related information resource artifacts, and notify.;{}
189;04_dii;Produce and display submittal forms as part of the Information Resource Submittal Package from the web containing the following Information Resource artifacts: XML Tag Specification, XML Spec (i.e. DTD, DCD etc.), Sample of XML document of the tag to be submitted.;{}
190;04_dii;The Package is to be compressed and emailed or sent ftp to an addressee.;{}
191;04_dii;Download Information Resource Submittal Package from the web containing forms, instructions, and tools for submission to XML Registry.;{}
192;04_dii;Submit prescribed metadata related to information resource type, information resource association, status code, data types specified and other related information specified in Appendix A within a combination of forms.;{}
193;04_dii;These forms are part of the Information Resource Submittal Package containing the following Information Resource artifacts: XML Tag Specification, XML Spec (i.e. DTD, DCD etc.), Sample of XML document of the tag to be submitted.;{}
194;04_dii;The Package is to be compressed and emailed or sent ftp to an addressee.;{}
195;04_dii;Submit metadata by an on-line interactive process;{}
196;04_dii;Submit metadata by a off-line and interactive batch process;{}
197;04_dii;Parse submitted XML Registry specification forms;{}
198;04_dii;Populate XML Registry database;{}
199;04_dii;Modify of specified terms & definitions of metadata and status of InfoRes.;{'Information Resources': 'InfoRes'}
200;04_dii;Associate Information Resources specified in Appendix A.;{}
201;04_dii;Annotate rejected?;{}
202;04_dii;Assemble registered information resources to form new components.;{}
203;04_dii;Assemble new DTDs from current;{}
204;04_dii;Produce DTD as an instantiation (others are database schema, message definition) for modeling environment.;{}
205;04_dii;Notify change in Information Resources or authorized producer of tag.;{}
206;04_dii;Provide a capability to post planned changes to a registry;{}
207;04_dii;Approve and reject SUB;{'submission': 'SUB'}
208;04_dii;Forward request to different registry;{}
209;04_dii;Consumer services. A consumer examines a registry to select a tag structure for reuse in one or more applications that will exchange data according to a pre-defined agreement.;{}
210;04_dii;View the XML Tags via a tree/hierarchy structure or tabular format.;{}
211;04_dii;View the XML Tags by giving the user multiple search options to find a specific Tag.;{}
212;04_dii;View the XML tags by giving the user the search option to find all tags of a given subscriber/author.;{}
213;04_dii;Each Information Resource will have its own web page to allow the user to view all pertinent information, according to its information resource type.;{}
214;04_dii;View the Information Resource Submittal Package containing the following Information Resource artifacts: XML Tag Specification, XML Spec (i.e. DTD, DCD etc.), Sample of XML document of the tag to be submitted.;{}
215;04_dii;Display an XML Tag Specification form to the author of a given information resource. This XML Tag Spec will be used for inputting the requesting information for a specific Information Resource.;{}
216;04_dii;Provide capabilities to download the XML Tags or other selected Information Resources.;{}
217;04_dii;Catalog entities and attributes within servers to enable browsing, searching, retrieving of data related to XML sources.;{}
218;04_dii;Process ANSI standard SQL as specified in FIPS PUB 127-2;{}
219;04_dii;Establish rules to ensure maximum semantic understanding of a term as it appears in an XML document;{}
220;04_dii;Provide a capability to subscribe for notification of changes to Communities of Interest (COE) or Information Resources.;{}
221;04_dii;Manager services create and manage usernames, superusers.;{}
222;04_dii;Establish acceptable naming convention not to be in conflict with the DOD data standards convention and establish a relationship to other naming conventions.;{}
223;04_dii;Create a naming structure within the COE architecture to express the context and relationship of the naming convention to other naming conventions specified in the I&RTS.;{}
224;04_dii;Define a set of metadata tags, information attributed to metadata tags (meta-metadata) and other related terms for the maintenance and control of XML tags.;{}
225;04_dii;Monitor changes to data models recorded in Registry;{}
226;04_dii;Design the schema for an XML document;{}
227;04_dii;Use and reference existing tags and associated semantic structures;{}
228;04_dii;Use & reference existing tags & associated semantic structures (extracted from Registry);{}
229;04_dii;create new tags & associated semantic structures;{}
230;04_dii;Record semantic structure in JTA-compliant formalism;{}
231;04_dii;Generate standard views;{}
232;04_dii;Version metadata objects;{}
233;04_dii;Generate xml & schema documents;{}
234;04_dii;Generate a document that includes (by ref or by value) a schema;{}
235;04_dii;Develop scheme to permit dynamic cross-referencing and indexing of XML objects.;{}
236;04_dii;Generate language (natural language) and charset values;{}
237;04_dii;Disassemble document to materialize different query results into different tree structure;{}
238;04_dii;Transmit sufficient metadata to construct alternate, semantically-valid views (e.g., XSL);{}
239;04_dii;Create validation constraints shall enable a meaningful sharing of XML-based schemas and related information.;{}
240;04_dii;Extract semantically-valid views from an XML document (e.g., XSL);{}
241;04_dii;Disassemble hierarchical view to relational representation;{}
242;04_dii;The XS shall internally interface (transparent to the operator) with the existing data elements of the DBIF, DAC, and COTS RDBMS products.;{}
243;04_dii;The Registry software shall be portable and required to execute on COE-compliant platforms.;{}
244;04_dii;Personnel requirements shall be determined by the developers of the system in which the XS module is embedded;{}
245;04_dii;Training requirements shall be determined by the developers of the system in which the XS module is embedded.;{}
246;04_dii;The XS developer is responsible for software maintenance, software support, and software updates.;{}
247;04_dii;The DISA Configuration Manager (CM) is responsible for distribution of the XS product to system developers.;{}
248;05_tcs;Upon application of power TCS shall enter the Startup State.;{'TCS': 'TCS'}
249;05_tcs;The Startup State shall be comprised of the following modes: Normal Startup Mode and Recovery Startup Mode.;{}
250;05_tcs;The TCS will execute the particular startup mode which corresponds with the manner in which the TCS Software was halted.;{}
251;05_tcs;When the TCS Software is terminated normally the TCS shall enter the Normal Startup Mode of operation upon application of power.;{}
252;05_tcs;When TCS software is halted due to an unplanned power interruption as well as abnormal program termination, then TCS shall enter the Recovery Startup Mode upon AppPw.;{'application of power': 'AppPw'}
253;05_tcs;During startup, TCS shall determine which of the 5 levels of interaction are achievable by TCS configuration.;{'TCS': 'TCS'}
254;05_tcs;Levels of interaction higher than those achievable by a particular TCS configuration shall be prohibited.;{}
255;05_tcs;The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction.;{}
256;05_tcs;When executing in the Normal Startup Mode, TCS shall provide the system functionality necessary to initialize the system to place it in the Operations State within 60 seconds from the time power is supplied and TCS application is launched.;{'TCS': 'TCS'}
257;05_tcs;Initialization of the TCS HWCIs shall include startup of HWCIs , download of software , startup of CSCIs , execution of Startup FD/L , and establishment of the state of R of all interfaces.;{'readiness': 'R'}
258;05_tcs;TCS in the Recovery Startup Mode shall provide the system functionality to resume the Operations State within 45 seconds.;{'TCS': 'TCS'}
259;05_tcs;10 Recovery of the TCS HWCIs shall include startup of HWCIs , download of software , startup of CSCIs , and establishment of the state of readiness of all interfaces.;{}
260;05_tcs;The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction.;{}
261;05_tcs;For recovery from abnormal termination, TCS shall prompt the operator to select the type of recovery to be executed: (1)Resume in the Same Modes And (2)Resume in the Same Modes but Review and Modify the Command Data as Necessary or, (3) Perform a Command Shutdown and Startup Via the Normal Startup Mode.;{'TCS': 'TCS'}
262;05_tcs;When in the Operations State the TCS shall be capable of operating in three modes: normal operations mode, training operations mode, and maintenance operations mode.;{}
263;05_tcs;The Operations State modes shall not exist concurrently.;{}
264;05_tcs;The operator shall have the capability to command the system to the Shutdown State from all modes under the Operations State.;{}
265;05_tcs;The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the Normal Operations Mode and Training Mode, to include a periodic determination of level of interaction.;{}
266;05_tcs;In the Normal Operations Mode the TCS shall support the following functions: Mission Planning Mission Control and Monitoring Payload Product Management Target Coordinate Development C4I Systems Interface;{}
267;05_tcs;Functions under the Normal Operations Mode shall operate concurrently without precluding or excluding any of the other functions, in accordance with allowable operations as determined by the appropriate levels of interaction.;{}
268;05_tcs;Functions under the Training Operations Mode shall operate concurrently without precluding or excluding any of the other functions, in accordance with allowable operations as determined by the appropriate levels of interaction.;{}
269;05_tcs;In the Maintenance Operations Mode, if computer workstation Human Computer Interface (HCI) is required, the TCS shall support the following functions:;{}
270;05_tcs;Conduct AV maintenance Conduct payload maintenance;{}
271;05_tcs;Conduct Data Link Terminal maintenance Conduct workstation and peripheral equipment maintenance Perform Fault Detection/Location (FD/L) Perform Software Upgrades;{}
272;05_tcs;Perform Software Debug and Monitoring;{}
273;05_tcs;Upon the selection of a shutdown command the TCS shall enter the Shutdown State, which will cause the TCS to be placed in a condition where power can be removed without impacting operations as well as causing damage to the system, and from which restart of the system can be accomplished normally.;{}
274;05_tcs;Shutdown of the TCS shall include storage as well as deletion, as specified by the operator, of mission data files , shutdown of appropriate functions , shutdown of HCIs , and proper termination of all active interfaces .;{}
275;05_tcs;There shall be no modes of operation in the shutdown state.;{}
276;05_tcs;The TCS will provide the hardware and software necessary to allow the operator to conduct the following major functions 1) mission planning, 2) mission control and monitoring, 3) payload product management, 4) targeting, and 5) C4I system interface.;{}
277;05_tcs;TCS shall have the functionality to allow the operator to generate a UAV mission plan.;{'TCS': 'TCS'}
278;05_tcs;The TCS shall have the functionality to receive and process UAV mission plans from service specific mission planning systems.;{}
279;05_tcs;The TCS Mission plan shall include all necessary information required to be interoperable with the service specific mission planning systems including the Tactical Aircraft Mission Planning System (TAMPS), Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS).;{}
280;05_tcs;The TCS shall have the functionality to transmit UAV mission plans to service specific mission planning systems.;{}
281;05_tcs;The TCS shall facilitate automated processing of mission plan data received via C4I interfaces in order to extract the appropriate mission planning data.;{}
282;05_tcs;The TCS shall have the functionality to receive and process UAV mission plans from other TCSs.;{}
283;05_tcs;The TCS shall have the functionality to transmit UAV mission plans to other TCSs.;{}
284;05_tcs;A Mission Plan shall include a Flight Route Plan for a selected AV, a Payload Plan for the selected payload, and a Communications Plan.;{}
285;05_tcs;The TCS shall be capable of storing a minimum of 500 mission plans under unique names to allow for later retrieval.;{}
286;05_tcs;The TCS mission planning function shall provide a graphical user interface that gives the operator the ability to define WPT on a map based display using a pointing device with full keyset redundancy.;{'waypoint': 'WPT'}
287;05_tcs;TCS shall provide the capability to compute the range and bearing between two geographic positions on the map display.;{'TCS': 'TCS'}
288;05_tcs;As an objective, the TCS shall have the capability to import as well as create and modify map display overlays for fire support coordination measures , airspace control measures , and threat identification measures.;{}
289;05_tcs;Upon completion of radar cross section analysis and characterization by the Government for each UAV type, TCS shall utilize a UAV signature versus threat lookup table db) that identities the lethality of the threat to the UAV , and shall provide the capability of displaying aircraft signature versus threat, before and during flight.;{'database': 'db'}
290;05_tcs;The TCS shall permit dynamic mission and payload retasking during all phases of operational mission execution.;{}
291;05_tcs;The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if applicable to the selected AV), and AV loiter patterns.;{}
292;05_tcs;The TCS shall provide the capability to enter system configuration characteristics in the mission plan, to include selected AV type, AV identification number, selected payload type, ground control authorization information, and required comm pre-set for data links, tactical comm, and C4I data dissemination.;{'communication': 'comm'}
