AA;Anti-alias
BGP;Border Gateway Protocol
BHO;Browser Helper Object
Bi-di;bidirectional
BIND;Berkeley Internet Name Domain
BIO;biography
BIOS;basic input/output system
BISYNC;BinarySynchronous Communications
Bit;binary digit
BITNET;because it's time network
BIU;bold, italic, underline
BNC;Bayonet Neill-Concelman
BO;back orifice
BOFH;Bastard Operator From Hell
BOINC;Berkeley Open Infrastructure for Network Computing
BOM;beginning of medium
BOM;beginning of message
BOM;bill of materials
BOM;byte order mark
Bool;Boolean
BPB;BIOS pattern block
BPDU;Bridge Protocol Data Unit
BPL;broadband-over-powerline
bps;bits per second
Bps;bytes per second
BPSK;biphase shift keying
Br;Break key
BRI;basic rate interface
Brouter;bridge router
BSB;back-side bus
BSC;Binary Synchronous Communications
BSoD;Blue Screen of Death
BSoD;Black Screen of Death
BSS;basic service set
BTC;Behavior Tech Computers
BTC;bitcoin
BTX;Balanced Technology eXtended
C;Celsius
C2;Core 2
CA;certificate authority
Cab;Cabinet file
CAD;computer-aided design
CAP;Competitive Access Provider
CAPS;CapsLock
CAPSLK;CapsLock
CAPTCHA;Completely Automated Public Turing test to tell Computers and Humans Apart
CAS;column access strobe
CAS;column address select
CASC;Certificate Authority Security Council
CAT;Central Africa Time
CATV;Community Access Television
CATV;Cable TV 
CBL;calculator based labs
CBT;computer-based training
CC;Cursor control
CC;Creative Commons
CC;C compiler
CC;carbon copy
CCC;Catalyst Control Center
CCD;charge-coupled device
CCDE;Cisco Certified Design Expert
CCFL;cold cathode fluorescent lighting
CCIE;Cisco Certified Internetworking Expert
CCITT;Comit Consultatif International Telephonique et Telegraphique
CCNA;Cisco Certified Network Associate
CCNP;Cisco Certified Network Professional
CCS;common command set
CCS;call-control signaling 
CCTV;closed circuit television
CCW;counterclockwise
CD;compact disc
CD;change directory
CDA;compact audio disc
CDA;Communication Decency Act
CDDA;compact disc digital audio
CDDB;compact disc database
CDDI;Copper Distributed Data Interface
CDE;Common Desktop Environment
CDfs;Compact Disc file system
CD-i;Compact Disc Interactive
CDMA;Code Division Multiple Access
CDN;content distribution network
CDN;content delivery network
CDP;Cache Discovery Protocol
CDP;Certificate in Data Processing
CDP;Columbia Data Products
CDP;content delivery platform
CDP;content discovery platform, 
CDP;continuous data protection
CD-PROM;Compact Disc-Programmable ROM
CD-R;Compact Disc Recordable
CDRFS;CD-R file system
CD-ROM;Compact Disc Read-Only Memory
CD-ROM XA;CD-ROM extended architecture
CD-RW;Compact Disc Re-Writable
CDSL;Consumer DSL
CD-WO;Compact Disc Write Once
CE;cancel entry
CE;consumer edition
CE;compact edition
CE;collector's edition
Cell phone;cellular telephone
CentOS;Community Enterprise Operating System
CEO;chief executive officer
CERN;Conseil Europeen pour la Recherche Nuclaire
CERT;certified
CERT;Computer Emergency Response Team
Cert;certification
Cert;certified
Cert;certificate
CES;Consumer Electronics Show
CF;CompactFlash
CFPM;cubic feet per minute
CGA;Color Graphics Adapter
CGI;computer-generated imagery
CGI;common gateway interface
CH;Computer Hope
CHAP;Challenge-Handshake Authentication Protocol
Char;character
chdir;change directory
CHS;cylinder-head-sector
cHTML;compact HTML
CIDR;classless inter-domain routing
CIFS;common Internet file system
CIM;common information model
CIR;committed information rate
CISC;complex instruction set computer
CISSP;certified information systems security professional
CLCC;ceramic leadless lead carrier
CLI;command-line interface
CLNS;connectionless network service
CLOS;Common Lisp object system
CLR;common language runtime
CLSID;class ID
CLUT;color lookup table
CMA;Computer Misuse Act
CMC;computer-mediated communication
CMOS;complementary metal-oxide semiconductor
CMS;content management system
CMYK;cyan magenta yellow black
CNCT;Certified Network Computer Technician
CNE;Certified Novell Engineer
CNR;Communication and Network Riser
CNST;Certified Network Systems Technician
CO;central office
COA;Certificate of Authenticity
COAST;Cache On A STick
COB;chip on board
COB;close of business
COBOL;Common Business Oriented Language
Code;source code
Codec;Compression / Decompression
Codec;COmpression / DECompression
Coil;electromagnetic coil
COLA;comp.os.linux.announce
COM;Computer Output Microfilm
COM;Component Object Model
COMDEX;Computer Dealers' Exhibition
CompTIA;Computer Technology Industry Association
Con;conference
Con;confidence
Con;console
COPPA;Children's Online Privacy Protection Act
COPPA;California Online Privacy Protection Act
Core;core dump
CPA;cost per acquisition
CPA;cost per action
CPAN;comprehensive Perl archive network
CPC;cost per click
CPGA;ceramic pin grid array
CPI;characters per inch
CPL;Combined Programming Language
CPM;cost per mile
CPM;cost per thousand
CPS;characters per second
CPTM;cost per targeted thousand
CPU;central processing unit
CR;carriage return
CRC;cyclic redundancy check
CREN;Corporation for Research and Educational Networking
C-RIMM;continuity RIMM
CRL;Certificate Revocation List
CR/LF;carriage return/line feed
CRM;customer relationship management
CRT;cathode ray tube
Crypto;cryptography
CS;customer service
CS;computer science
CS;cable select
CS;code segment
CSMA/CD;carrier sense multiple access/collision detection
CSNET;Computer Science Network
CSS;Cascading Style Sheets
CSS;chirp spread spectrum
CSS;Content Scramble System
CSS;cascading style sheets
CST;Computer Service Technician
CSU/DSU;Channel Service Unit/Data Service Unit
CSV;comma-separated values
CTA;call to action
CTCP;client-to-client protocol
CTD;crash to desktop
CTF;Capture the Flag
CTO;chief technical officer
CTO;chief technology officer
CTR;click-through rate
Ctrl;Control key
CTS;Clear to Send
CTTY;change teletype
CU;control unit
CUI;command-line user interface
CUI;character user interface
CUPS;Common Unix Printing System
Curmbox;Current Mailbox
CUT;Coordinated Universal Time
CVE;Common Vulnerabilities and Exposures
CVS;Concurrent Version System
CWIS;Campus Wide Information System
D;depth
D2D;disk-to-disk
DAC;discretionary access control
DAC;digital-to-analog converter
DACL;discretionary access control list
DAE;digital audio extraction
DARPA;Defense Advanced Research Projects Agency
DART;Data Access in Real Time
DART;Dynamic Analysis and Replanning Tool
DART;Microsoft Diagnostics and Recovery Toolset
DASD;direct access storage device
DASP;Disk Anti-Shock Protection
DASP;Drive Active Slave Present
DASP;Dynamic Adaptive Speculative Pre-Processor
DAT;Digital Audio Tape
DAW;digital audio workstation
DB;database
DBA;database analyst
DBA;decibels adjust
DBA;database administrator
DBAN;Darik's Boot and Nuke
DBMS;database management system
DC;domain controller
DC;data center
DC;disconnect
DC;direct current
DCC;Direct Client-to-Client
DCE;data circuit-terminating equipment
DCE;data communication equipment
DCE;Desktop Composting Engine
DCE;distributed computing environment
DCIM;digital camera images
DCOM;Distributed Component Object Model
DD;double density
DDBMS;distributed database management system
DDE;Dynamic Data Exchange
DDK;driver development kit
DDL;data definition language
DDNS;dynamic DNS
DDO;disk drive overlay
DDoS;Distributed Denial of Service
DDP;Datagram Delivery Protocol
DDR;dial-on-demand routing
DDR;double data rate
DDR2;double data rate two
DDR3;double data rate three
DDR4;double data rate four
DDR SDRAM;double data rate synchronous dynamic random access memory
DDS;Digital Data Storage
DEA;Data Encryption Algorithm
DEC;Digital Equipment Corporation
DES;Data Encryption Standard
DFMC;direct methanol fuel cell
DHCP;Dynamic Host Configuration Protocol
DHTML;dynamic Hypertext Markup Language
DID;direct inward dialing
DIF;Directory Interchange Format
DIME;direct Internet message encapsulation
DIMM;dual in-line memory module
DIP;dual in-line package
DIVX;digital video express
DIX;Digitial, Intel, and Xerox
DL;download
D/L;download
DLA;drive letter access
DLC;downloadable content
DLC;digital loop carrier
DLC;Data Link Control
DLL;dynamic-link library
DLNA;Digital Living Network Alliance
DLP;Digital Light Processing
DLP;discrete logarithm problem
DLP;data level parallelism
DLP;data loss prevention
DLT;digital linear tape
DM;Device Manager
DM;direct message
DMA;direct memory access
DMAC;Direct Memory Access Control
DMAR;destination memory address register
DMCA;Digital Millennium Copyright Act
DMI;Desktop Management Interface
DML;data manipulation language
DMTF;Distributed Management Task Force
DMZ;demilitarized zone
DNS;Domain Name System
DOA;dead on arrival
DoCoMo;Do Communications Over Mobile
DOD;Department of Defense
DoS;denial of service
DOS;disk operating system
DoT;damage over time
Double;Double-precision floating-point
DP;DisplayPort
DPI;dots per inch
Dpkg;Debian package manager
DPMI;DOS Protected Mode Interface
DPMS;display power management system
DPS;damage per second
DRAM;dynamic random access memory
DRM;digital rights management
Drop;malware dropper
DRQ;data request
DS;drive select
DSAP;Destination Service Access Point
DSL;Damn Small Linux
DSL;digital subscriber line
DSO;data source object
DSP;drive secondary present
DSP;digital signal processor
DSR;Dynamic Source Routing
DSR;Dell System Restore
DSS;Digital Signature Standard
DSS;Digital Satellite Service
DSVD;Digital Simultaneous Voice and Data
DTE;data terminating equipment
DTE;data terminal equipment
DTR;Data Terminal Ready
DTS;data transformation services
DTS;Digital Theater Sound
DTS;digital thermal sensor
DTX;discontinuous transmission
DUN;Dial-Up Networking
DUT;device under test
DVD;digital versatile disc
DVI;digital visual interface
DVMT;Dynamic Video Memory Technology
DVR;Digital Video Recorder
Dword;double word
DxDiag;DirectX diagnostics
E-911;Enhanced 911
EA;Electronic Arts
EAI;enterprise application integration
EAP;Extensible Authentication Protocol
EAP-FAST;Flexible Authentication via Secure Tunneling
EAPROM;Electronically Alterable Programmable Read-Only Memory
Eb / EB;Exabit / Exabyte
EBCDIC;Extended Binary Coded Decimal Interchange Code
E-book;electronic book
ECC;error-correcting code
ECDSA;Elliptic Curve Digital Signature Algorithm
ECHS;extended cylinder-head-sector
ECMA;European Computer Manufacturers Association
ECP;Extended Capabilities Port
EDA;electronic design automation
EDI;electronic data interchange
EDIINT;electronic data interchange-Internet integration
EDO;Extended Data Out
EDP;electronic data processing
EDSAC;Electronic Delay Storage Automatic Calculator
EDVAC;Electronic Discrete Variable Automatic Computer
EEPROM;electrically erasable programmable read-only memory
EFI;Extensible Firmware Interface
EFS;Encrypting File System
EGA;Enhanced Graphics Adapter
eGPU;external graphics processing unit
EHCI;enhanced host controller interface
EIA;Electronic Industries Alliance
EIDE;enhanced integrated drive electronics
EIGRP;Enhanced Interior Gateway Routing Protocol
EISA;Extended Industry Standard Architecture
EISA;Extended ISA
EIST;enhanced Intel SpeedStep technology
ELD;electroluminescent display
E-learning;electronic learning
ELF;extremely low frequency
EM;emphasized
E-mail;electronic mail
EMF;enhanced metafile
EMF;electromotive force
EMI;electromagnetic interference
EMM;expanded-memory manager
EMS;expanded memory specification
EMS;emergency management services 
ENIAC;Electronic Numerical Integrator and Calculator
EOF;end-of-file
EOL;End-of-Line
EOM;end-of-message
EOP;end-of-page
EOT;end of topic
EOT;End-of-Transmission
EOW;end of week
EPD;electronic paper display
EPIC;Electronic Privacy Information Center
EPP;Enhanced Parallel Port
EPROM;Erasable Programmable Read-Only Memory
EPS;encapsulated PostScript
ePUB;electronic publication
EQ;equalizer
EQ;equals
ESA;Entertainment Software Association
ESCD;Extended System Configuration Data
ESD;electrostatic discharge
ESDI;Enhanced Small Disk Interface
ESI;Enhanced Serial Interface
ESP;e-mail server provider
ESRB;Entertainment Software Rating Board
ETA;estimated time of arrival
ETA-I;Electronic Technicians Association International
ETX;End-of-Text
EULA;End-User License Agreement
Eval;evaluate
EVD;enhanced versatile disc
EV-DO;Evolution-Data Only
EV-DO;Evolution-Data Optimized
EVP;enhanced virus protection
exFAT;Extended File Allocation Table
F;fahrenheit
FAD;functioning as designed
Famicom;family computer
FAQ;frequently asked questions
FAST;Flexible Authentication via Secure Tunneling
FAT;file allocation table
FAU;file allocation unit
Fav;favorite
FB;facebook
FCC;Federal Communications Commission
FCIP;Fibre Channel over IP
FC-PGA;flip-chip pin grid array
FD;floppy drive
FDC;Floppy Disk Controller
FDD;floppy disk drive
FDDI;Fiber Distributed Data Interface
FDHP;Full Duplex Handshaking Protocol
Feat;feature
FF;fast forward
FF;form feed
FF;Firefox
FFA;free for all
FFS;freefall sensor
FHD;Full High Definition
FIF;fractal image format
FIFO;first in, first out
FiOS;Fiber Optic Service
FIPS;Federal Information Processing Standards
Fixed;fixed-point
FLAC;Free Lossless Audio Codec
Flash;Adobe Flash
Float;floating-point
FLOPS;Floating-Point Operation Per Second
FM;frequency modulation
FMV;full motion video
Fn;function
FNEA;full name and e-mail address
FNR;format and restore
FOIA;Freedom of Information Act
FOIRL;fiber-optic inter-repeater links
FORTRAN;Formula Translation
FOSS;free and open-source software
FP;FrontPage
FP;fast page
FPGA;field-programmable gate array
FPM;fast page mode
FPROM;field programmable read-only memory
FPS;frames per second
FPU;floating-point unit
FQDN;fully qualified domain name
FR;Frame Relay
FRAM;Ferroelectric RAM
FRU;field-replacable unit
FS;file system
FSB;front-side bus
Fsck;file system check
FSO;free-space optical communication
FSP;File Sharing Protocol
Fstab;file systems table
FSTN;film supertwist nematic
Fstype;file system type
FTAM;file transfer, access and management
FTC;Federal Trade Commission
FTP;File Transfer Protocol
FWH;Firmware Hub
FYI;for your information
G+;Google Plus
G2G;government to government
GA;general availabililty
GaAs;Gallium Arsenide
Gb / GB;gigabit / gigabyte
GBIC;gigabit interface converter
Gbps;Gigabits per second
GCC;GNU Compiler Collection
GCHQ;Government Communications Headquarters
GCR;group code recording
GDDR;graphics double data rate
GDI;Graphics Device Interface
GDPR;General Data Protection Regulation
GE;General Electric
GEM;Graphics Environment Manager
GF;GeForce
GFM;GitHub Flavored Markdown
GHz;Gigahertz
Gib / GiB;gibibit / gibibyte
GIGO;garbage in, garbage out
GIMP;GNU image manipulation program
GIMPS;great Internet mersenne prime search
GIS;Geographic Information System
GKS;Graphical Kernel System
GM;gold master
GM;game masters
Gmail;Google Mail
GNU;GNU's Not Unix
GPF;general protection fault
GPG;GNU Privacy Guard
GPL;general public license
GPO;Group Policy Object
GPPM;graphic pages per minute
GPRS;General Packet Radio Service
GPS;Global Positioning System
GPT;GUID partition table
GPU;graphics processing unit
Gravatar;globally recognized avatar
GRUB;GRand Unified Bootloader
GSM;Global System for Mobile communication
GT;Greenwich Mean Time
GTK;GIMP toolkit
GUI;graphical user interface
GUID;globally unique identifier
GWAM;gross words a minute
Gzip;GNU zip
H;height
HACMP;high availability cluster multiprocessing
HAL;hardware abstraction layer
HAN;home area network
HBA;host bus adapter
HCI;human computer interface
HCL;hardware compatibility list
HD;high-definition
HD;high-density
HD;hard drive
HDC;hard disk controller
HDCP;High-bandwidth Digital Content Protection
HDD;hard disk drive
HD DVD;High Definition Digital Versatile Disc
HDLC;High-level Data Link Control
HDMI;High-Definition Multimedia Interface
HDML;handheld device markup language
HD-ROM;high-density read-only memory
HDSL;high-bit-rate digital subscriber line
HDTV;high-definition TV
HEIF;High Efficiency Image File format
HES;hypertext editing system
HEVC;high efficiency video coding
HFC;hybrid fiber coax
HFS;hierarchical file system
HGA;Hercules graphics adapter
HID;human interface device
Hiew;hacker's view
Hi-res;high resolution
HIT;human intelligence task
HLL;high-level language
HMA;high-memory area
HOP;half OP
HoT;Heal over Time
HP;Hewlett-Packard
HPA;high-performance addressing
HPD;hybrid passive display
HPFS;high-performance file system
HPGL;Hewlett Packard Graphic Language
HP-UX;Hewlett Packard UniX
HQ;high-quality
HR;Human Resources
HREF;Hypertext reference
HSB;Hue, Saturation, and Brightness
HSF;heat sink and fan
HSL;Hue, Saturation, and Lightness
HSSI;High-Speed Serial Interface
HSYNC;Horizontal Synchronization
HT;Hyper-Threading
HT;HyperTransport
HTML;Hypertext Markup Language
HTPC;home theater personal computer
HTTP;Hypertext Transfer Protocol
HUD;heads up display
HW;hardware
Hz;Hertz
IA-32;Intel Architecture 32
IA-64;Intel Architecture 64
IAB;Internet Architecture Board
IAC;Interapplication communications
IAC;In Any Case
IAD;integrated access device
IANA;Internet Assigned Numbers Authority
IAP;Internet access provider
IBG;interblock gap
ICA;integrated communications adapter
ICA;independent computing architecture
Icacl;Integrity control access control list
ICANN;Internet Corporation for Assigned Names and Numbers
ICCCM;Inter-Client Communication Conventions Manual
ICCP;Institute for Certification of Computer Professionals
ICMP;Internet Control Message Protocol
ICO;Initial Coin Offering
ICO;icon
iCOMP;Intel comparative microprocessor performance
ICRA;Internet Content Rating Association
ICS;Internet Connection Sharing
ICT;International Computers and Tabulators
ICT;information and communications technology
ICU;interactive chart utility
ICU;ISA configuration utility
ICU;interface converter unit
ICU;instruction cache unit
IDC;insulation displacement contact
IDE;integrated development environment
IDE;integrated device electronics
IDEA;International Data Encryption Algorithm
IDMS;Integrated Database Management System
IDPS;intrusion detection prevention system
IDS;intrusion detection system
IDSL;integrated services digital network digital subscriber line
IE;Internet Explorer
IEC;International Electrotechnical Commision
IEEE;Institute of Electrical and Electronics Engineers
IEN;Image-Enabled Netware
IEN;Internet Engineering Notes
IEN;Internet Experiment Note
IETF;Internet engineering task force
IF;interactive fiction
IFIP;International Federation for Information Processing
IFTF;Interactive Fiction Technology Foundation
IGES;Initial Graphics Exchange Specification
IGMP;Internet Group Management Protocol
IGP;Interior Gateway Protocol
IHA;Intel Hub Architecture
IIL;integrated injection logic
IIS;Internet Information Server
IM;instant messaging
IM;instant messenger
IM;instant message
IMAP;Internet Message Access Protocol
IMDb;Internet Movie Database
IMEI;International Mobile Equipment Identity
IMSI;International Mobile Subscriber Identity
INC;incorporated
INCITS;International Committee for Information Technology Standards
Inetd;Internet service daemon
Info;information
Inode;index node
Int;integer
INTR;interrupt
I/O;input/output
IOC;input/output controller
IOCCC;Internet Obfuscated C Code Contest
IOPS;input/output operations per second
IOS;Input/Output Supervisor
IOS;Internetworking operating system
IP;Internet Protocol
IP;ingress protection
IP;intellectual property
IPB;illustrated parts breakdown
IPC;instructions per cycle
IPC;interprocess communication
IPD;interpupillary distance
IPF;invalid page fault
IPL;initial program load
IPng;Internet Protocol next generation
IPOS;input, processing, output, and storage
IPOS;IP over Satellite
IP Rating;Ingress Protection Rating
IPS;intrusion prevention system
IPsec;Internet Protocol security
IPTO;Information Processing Technology Office
IPTV;Internet Protocol television
IPv4;Internet Protocol version 4
IPv6;Internet Protocol version 6
IPX/SPX;Internetwork Packet Exchange/Sequenced Packet Exchange
IR;information retrieval
IR;infrared
IRC;Internet Relay Chat
IrDA;Infrared Data Association
IRG;interrecord gap
IRGB;Intensity-Red-Green-Blue
IRQ;interrupt request
IS;Information Systems
IS;Information Services
IS;image stabilization
ISA;Industry Standard Architecture
ISACA;Information System Audit and Control Association
ISAM;indexed sequential access method
ISAPI;Internet Server Application Programming Interface
ISATAP;Intra-Site Automatic Tunnel Addressing Protocol
ISBN;International Standard Book Number
ISDN;Integrated Services Digital Network
ISIS;integrated software for imagers and spectrometers
ISIS;infinitely scalable intelligent storage
ISIS;Image and Scanner Interface Specification
ISO;International Organization for Standardization
ISP;Internet service provider
ISV;independent software vendor
IT;information technology
ITC;International Typeface Corporation
ITIL;Information Technology Infrastructure Library
ITU;International Telecommunication Union
ITX;Information Technology eXtended
JAR;Java archive
Java EE;Java Platform, Enterprise Edition
JCL;job control language
JDBC;Java Database Connectivity
JDK;Java Development Kit
JEDEC;Joint Electron Device Engineering Council
JHTML;Java within HTML
JIL;Java Intermediate Language
JIT;just-in-time
JNI;Java Native Interface
JPEG;Joint Photographic Experts Group
JRE;Java Runtime Environment
JSON;JavaScript Object Notation
JSP;JavaServer Pages
JSR;jump to subroutine
JTAG;Joint Test Action Group
JVM;Java virtual machine
K;kilobit
kb / kbit;kilobit
KB;knowledge base
Kbps;kilobits per second
KDE;K Desktop Environment
kHz;kilohertz
KiB;kibibyte
Kib;kibibit
kilo;one thousand
KVM;Kernel-based Virtual Machine
KVM;keyboard, video, and mouse
L2;level 2 cache
L2P;learn to play
L2TP;Layer 2 Tunneling Protocol
LAME;LAME ain't an MP3 encoder
LAN;local area network
LAPM;Link Access Procedure for Modems
Laser;light amplification by stimulated emission of radiation
LAWN;local area wireless network
LBA;large block addressing
LBS;location-based service
LC;lowercase
LCC;leadless chip carrier
LCD;liquid crystal display
LD;laserdisc
LDAP;Lightweight Directory Access Protocol
LE;Less than or Equal to
LED;light-emitting diode
LED monitor;light-emitting diode
LF;line feed
LFAP;Light-weight Flow Admission Protocol
LFD;Login Failure Daemon
LFN;long file name
LGA;land grid array
LGPL;Lesser General Public License
LH;Loadhigh
LIFO;last in, first out
Li-ion;lithium-ion
LILO;Last In Last Out
Li-polymer;lithium-polymer
LIPS;LInux Phone Standard
LIPS;Linear Inferences Per Second
Lisp;List Processing
LISTSERV;list server
LKGC;last known good configuration
LLC;limited liability company
LLC;Logical Link Control
LMK;let me know
LMS;Learning Management System
LNP;local number portability
LOD;level of detail
LOF;loss of frame
Lo-res / low-res;low-resolution
LOS;Loss of signal
LOS;Line of Sight
LP;long play
LPD;line printer daemon
LPI;lines per inch
LPM;lines per minute
LPS;Library Programs Service
LPT;line printer terminal
LPWAN;low-power wide-area network
LPX;Low Profile eXtension
LQ;letter-quality
LRC;longitudinal redundancy check
LRDIMM;load-reduced dual inline memory module
LRU;line replaceable unit
LSB;least significant bit
LSC;least significant character
LSD;least significant digit
LSP;link state packet
LSP;Layered Service Provider
LTE;Long-Term Evolution
LU;logic unit
Luser;Local user
lvl;level
Lzone;Landing Zone
LZ;Landing Zone
m;milli
M-;meta key
MAC;media access control
MAC;Macintosh
Macro;macroinstruction
MAE;Metropolitan Area Ethernet
mAH;milliamp hour
MAN;manual
MAPI;Message Application Programming Interface
MAPS;Mail Abuse Prevention Systems
MAR;memory address register
Matlab;matrix laboratory
Matrix;Matrix code
MAU;media access unit
Max;maximize
Max;maximum
mb;motherboard
Mb;megabit
MB;megabyte
MBAM;Malwarebytes
MBean;Managed Beans
MBL;microcomputer-based labs
Mbps;megabits per second
MBps;megabytes per second
MBR;master boot record
MC;megacycle
MCA;Micro Channel Architecture
MCGA;multicolor graphics array
MCITP;Microsoft Certified IT Professional
MCSA;Microsoft Certified Systems Administrator
MCSE;Microsoft Certified System Engineer
MDA;Monochrome Display Adapter
MDBMS;Multidimensional Database Management System
MDC;modification detection code
MDF;main distribution frame
MDI;multiple-document interface
MDRAM;Multibank DRAM
Memo;memorandum
MFA;multi-factor authentication
Mflop;megaflop
MFM;Modified Frequency Modulation
MFP;multifunction printer
MFT;Master File Table
Mget;multiple get
MHz;megahertz
Mib;mebibit
MiB;mebibyte
MIB;management information base
MICR;magnetic ink character recognition
Microsoft MVP;Microsoft Most Valuable Professional
MIDI;Musical Instrument Digital Interface
MIME;Multipurpose Internet Mail Extension 
MIMO;multiple-input, multiple-output
Min;minimum
MIN;mobile identification number
MIPS;millions of instructions per second
MIR;mail in rebate
MIS;management information system
MIT;Massachusetts Institute of Technology
MITMA;man-in-the-middle attack
Mkdir;make directory
MMC;MultiMediaCard
MMC;Microsoft Management Console
MMI;man machine interface
MMORPG;massively multiplayer online role playing game
MMS;Multimedia Message Service
MMU;memory management unit
MMX;MultiMedia eXtension
MNP;Microcom Network Protocol
Moblog;mobile blog
Mod;modulo
Model no.;model number
Modem;modulator/demodulator
MO diskette;magneto-optical diskette
Mofo;Mozilla Foundation
MOS;metal-oxide-semiconductor
MOSFET;metal-oxide semiconductor field-effect transistor
MOTD;message of the day
MOV;Metal Oxide Varistor
MPAA;Motion Picture Association of America
MPC;Multimedia Personal Computer
MPEG;Moving Picture Experts Group
MPI;message passing interface
MPLS;Multiprotocol Label Switching
MPP;massively parallel processing
Mput;multiple put
MRP;Materials Requirement Planning
MRU;Maximum Receive Unit
MRUD;Most Recently Used Directory
MS;Microsoft
MS;memory stick
MS;millisecond
MSC;Most Significant Character
MSCS;Microsoft Cluster Server
MSD;Most Significant Digit
MSD;Microsoft Diagnostics
MSDN;Microsoft Developer Network
MS-DOS;Microsoft Disk Operating System
MSDS;material safety data sheet
MSE;Microsoft Security Essentials
MSN;The Microsoft Network
MSP;Management Service Provider
MSRP;Manufacturer's Suggested Retail Price
MSVC;Microsoft Visual C++
MTA;mail transfer agent
MTBF;mean time between failure
MTU;maximum transmission unit
MUD;multi-user dungeon
MUI;multi-user interface
MUT;MultiUser Talk
Mutex;mutual exclusion object
MVNO;mobile virtual network operator
MVP;most valuable player
MVS;multiple virtual storage
MX record;Mail eXchange record
NAK;negative acknowledgment
NAS;network access server
NAS;network-attached storage
NAT;Network Address Translation
NCP;Network Control Protocol
NCP;NetWare Core Protocol
NCSA;National Center for Supercomputing Applications
NCSC;National Cybersecurity Center
NDA;non-disclosure agreement
NDAS;Network Direct Attached Storage
NDIS;network driver interface specification
NDR;non-active, dormant, to be removed
NDR;network data representation
NDR;non-destructive readout
NDRO;non-destructive readout
ne;not equal
